,Time,Score
1238,a month ago,3
1239,a month ago,5
1240,a month ago,5
1241,a month ago,5
1242,a month ago,4
1243,a month ago,5
1244,a month ago,5
1245,a month ago,5
1246,a month ago,5
1247,a month ago,5
1248,a month ago,4
1249,a month ago,5
1250,a month ago,5
1251,a month ago,5
1252,a month ago,5
1253,a month ago,5
1254,a month ago,5
1255,a month ago,4
1256,a month ago,5
1257,a month ago,5
1258,a month ago,1
1259,a month ago,5
1260,a month ago,5
1261,a month ago,5
1262,a month ago,4
1263,a month ago,5
1264,a month ago,5
1265,a month ago,5
1266,a month ago,5
1267,a month ago,5
1268,a month ago,5
1269,a month ago,5
1270,a month ago,4
1271,a month ago,5
1272,a month ago,3
1273,a month ago,5
1274,a month ago,5
1275,a month ago,5
1276,a month ago,5
1277,a month ago,4
1278,a month ago,5
1279,a month ago,3
1280,a month ago,5
1281,a month ago,5
1282,a month ago,5
1283,a month ago,5
1284,a month ago,5
1285,a month ago,5
1286,a month ago,5
1287,a month ago,3
1288,a month ago,5
1289,a month ago,4
1290,a month ago,4
1291,a month ago,5
1292,a month ago,4
1293,a month ago,4
1294,a month ago,5
1295,a month ago,4
1296,a month ago,5
1297,a month ago,5
1298,a month ago,5
1299,a month ago,5
1300,a month ago,5
1301,a month ago,1
1302,a month ago,5
1303,a month ago,5
1304,a month ago,4
1305,a month ago,5
1306,a month ago,4
1307,a month ago,4
1308,a month ago,5
1309,a month ago,5
1310,a month ago,5
1311,a month ago,5
1312,2 months ago,5
1313,2 months ago,4
1314,2 months ago,5
1315,2 months ago,5
1316,2 months ago,5
1317,2 months ago,5
1318,2 months ago,5
1319,2 months ago,5
1320,2 months ago,5
1321,2 months ago,5
1322,2 months ago,2
1323,2 months ago,5
1324,2 months ago,5
1325,2 months ago,5
1326,2 months ago,4
1327,2 months ago,3
1328,2 months ago,3
1329,2 months ago,5
1330,2 months ago,3
1331,2 months ago,5
1332,2 months ago,4
1333,2 months ago,5
1334,2 months ago,5
1335,2 months ago,5
1336,2 months ago,5
1337,2 months ago,4
1338,2 months ago,5
1339,2 months ago,4
1340,2 months ago,5
1341,2 months ago,5
1342,2 months ago,5
1343,2 months ago,4
1344,2 months ago,5
1345,2 months ago,5
1346,2 months ago,5
1347,2 months ago,5
1348,2 months ago,5
1349,2 months ago,5
1350,2 months ago,5
1351,2 months ago,5
1352,2 months ago,5
1353,2 months ago,5
1354,2 months ago,5
1355,2 months ago,5
1356,2 months ago,5
1357,2 months ago,5
1358,2 months ago,5
